id_grid,crime_count,num_potholes,bank_a,bar_a,beauty_shop_a,cafe_a,car_dealership_a,car_wash_a,cinema_a,courthouse_a,dentist_a,department_store_a,fast_food_a,golf_course_a,hospital_a,hotel_a,motel_a,museum_a,nightclub_a,park_a,pharmacy_a,playground_a,post_office_a,restaurant_a,school_a,sports_centre_a,stadium_a,supermarket_a,swimming_pool_a,theatre_a,theme_park_a,track_a,university_a,bakery,bank,bar,cafe,car_dealership,cinema,convenience,department_store,fast_food,gift_shop,hairdresser,hotel,motel,nightclub,pharmacy,playground,pub,restaurant,school,supermarket,theatre,university,unemployment_rate,income,poverty_rate,density
7,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0235961592861152,60254.842769241885,0.14440484576377574,749.6492617294614
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017843027186451088,59366.93478627715,0.14760495817277483,1176.7215141466445
9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06052878134761637,67631.4862432675,0.11200050495033861,1370.0000287209025
10,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06423245790579632,67647.93997307743,0.038359018389949553,633.93424274255494
11,277,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0.05119777327082448,71527.31220695216,0.08115362600246989,1354.9365509101901
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04130600750292213,74912.40875615788,0.0030206613653788452,463.402750314181
17,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01591148547890664,74092.93454812288,0.045682358738152275,1540.860515062199
18,318,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012752664667567234,65466.87941722627,0.29419226331798115,3165.534956423862
19,489,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.027681201131005303,63588.81041169346,0.19447701821840263,2799.745041815206
20,1361,70,1,0,0,0,1,1,0,0,0,0,5,1,0,2,0,0,0,3,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.027191780173783143,64551.288472456545,0.18666318497516554,1480.9887116135008
